"site","place_name","date","latitude","longitude","sp","collection_method","Life_stage","Count"
"2017_H_01","Salt Lake Bay","4/29/2017",55.67264,-133.378,"Metacarcinus magister","crab pot","adult/non-larval juveniles",7
"2017_H_01","Salt Lake Bay","4/29/2017",55.67264,-133.378,"Telmessus cheiragonus","crab pot","adult/non-larval juveniles",19
"2017_H_01","Salt Lake Bay","4/29/2017",55.67264,-133.378,"Temessus cheiragonus","crab pot","adult/non-larval juveniles",10
"2017_H_01","Salt Lake Bay","4/29/2017",55.67264,-133.378,"Syngnathus leptorhynchus","beach seine","adult/non-larval juveniles",5
"2017_H_01","Salt Lake Bay","4/29/2017",55.67264,-133.378,"Pleuronectidae","beach seine","adult/non-larval juveniles",2
"2017_H_01","Salt Lake Bay","4/29/2017",55.67264,-133.378,"Idothea_rascata","hand","adult/non-larval juveniles",0
"2017_H_01","Salt Lake Bay","4/29/2017",55.67264,-133.378,"Cottidae","beach seine","adult/non-larval juveniles",32
"2017_H_01","Salt Lake Bay","4/29/2017",55.67264,-133.378,"Caprella_alaskana","hand","adult/non-larval juveniles",2
"2017_H_01","Salt Lake Bay","4/29/2017",55.67264,-133.378,"Littorina_sp","hand","adult/non-larval juveniles",0
"2017_H_01","Salt Lake Bay","4/29/2017",55.67264,-133.378,"Hexagrammos stelleri","beach seine","adult/non-larval juveniles",3
"2017_H_01","Salt Lake Bay","4/29/2017",55.67264,-133.378,"Lepidopsetta spp.","beach seine","adult/non-larval juveniles",1
"2017_H_01","Salt Lake Bay","4/29/2017",55.67264,-133.378,"Zostera_marina","hand","adult/non-larval juveniles",50
"2017_H_01","Salt Lake Bay","4/29/2017",55.67264,-133.378,"Oncorhynchus gorbuscha","beach seine","adult/non-larval juveniles",10
"2017_H_01","Salt Lake Bay","4/29/2017",55.67264,-133.378,"Gammarid_amphipod","hand","adult/non-larval juveniles",70
"2017_H_01","Salt Lake Bay","4/29/2017",55.67264,-133.378,"Pholis laeta","beach seine","adult/non-larval juveniles",9
"2017_H_01","Salt Lake Bay","4/29/2017",55.67264,-133.378,"Platichthys stellatus","beach seine","adult/non-larval juveniles",6
"2017_H_01","Salt Lake Bay","4/29/2017",55.67264,-133.378,"Polychaeta_sp","hand","adult/non-larval juveniles",29
"2017_H_01","Salt Lake Bay","4/29/2017",55.67264,-133.378,"Gasterosteus aculeatus","beach seine","adult/non-larval juveniles",75
"2017_H_01","Salt Lake Bay","4/29/2017",55.67264,-133.378,"Ammodytes personatus","beach seine","adult/non-larval juveniles",2889
"2017_H_01","Salt Lake Bay","4/29/2017",55.67264,-133.378,"Oncorhynchus keta","beach seine","adult/non-larval juveniles",46
"2017_H_01","Salt Lake Bay","4/29/2017",55.67264,-133.378,"Enophrys bison","beach seine","adult/non-larval juveniles",6
